,Symbol,tax_code
292,DCS,0101030402
293,DCT,3600475018
294,DDG,0310103090
295,DDM,0100105253
296,DDN,0400101404
297,DDV,0200827051
298,DFC,0100100696
299,DFF,0104008162
300,DGC,0101452588
301,DGT,3600259916
302,DGW,0302861742
303,DHA,3600464464
304,DHB,2400120344
305,DHC,1300358260
306,DHD,0800011018
307,DHG,1800156801
308,DHM,4600341471
309,DHN,0101337659
310,DHP,0200580118
311,DHT,0500391400
312,DIC,0302979487
313,DID,3600692809
314,DIG,3500101107
315,DIH,4000391600
316,DKC,4900102530
317,DL1,5900437257
318,DLD,6000177738
319,DLG,5900415863
320,DLR,5800000142
321,DLT,0100101298
322,DM7,0300509782
323,DMC,1400460395
324,DMN,1400641835
325,DMS,3500850392
326,DNA,1600249791
327,DNC,0200155561
328,DND,3600259352
329,DNE,0400228640
330,DNH,5800452036
331,DNL,
332,DNM,0400102101
333,DNN,0400101066
334,DNP,3600662561
335,DNT,3600276414
336,DNW,3600259296
337,DOC,3600333736
338,DOP,1400475345
339,DP1,0100108536
340,DP2,0100109113
341,DP3,0200572501
342,DPC,0400383300
343,DPG,0101218757
344,DPH,0200140269
345,DPM,0303165480
346,DPP,3600248086
347,DPR,3800100376
348,DPS,0104890396
349,DQC,0300363808
350,DRC,0400101531
351,DRG,6000175829
352,DRH,0304266964
353,DRI,6001271719
354,DRL,0400456277
355,DS3,5700102567
356,DSD,0401585934
357,DSG,2300100471
358,DSN,0302844200
359,DSP,0301074118
360,DST,0600004422
361,DSV,2600109073
362,DTA,0303118498
363,DTB,5800001347
364,DTC,5700486105
365,DTD,
366,DTE,0313939535
367,DTG,1200100557
368,DTH,2800231948
369,DTI,0301466299
370,DTK,0104297034
371,DTL,3700381282
372,DTP,0104089394
373,DTT,0303310875
374,DTV,2100110200
375,DUS,5800075878
376,DVC,0200408318
377,DVG,0500478210
378,DVM,0105196582
379,DVN,0100109385
380,DVP,0200511481
381,DVW,3600978879
382,DWC,6000175995
383,DWS,1400101205
384,DXG,0303104343
385,DXL,4900101456
386,DXP,0200443827
387,DXS,3602545493
388,DXV,0400101820
389,DZM,3700363445
390,E12,3100320136
391,E29,0105879162
392,EBS,0101493714
393,ECI,0102137109
394,EFI,0102556300
395,EIB,0301179079
396,EIC,0102379203
397,EID,0102222393
398,EIN,0305128163
399,ELC,0101435127
400,EME,0301900678
401,EMG,0100103584
402,EMS,0101826868
403,EPC,6000183114
404,EPH,0103488607
405,EVE,0101402121
406,EVF,0102806367
407,EVG,0104228175
408,FBC,4600355393
409,FCC,0500238265
410,FCM,0700252549
411,FCN,0101502599
412,FCS,0300559014
413,FDC,0300590663
414,FGL,5900189678
415,FHS,0304132047
416,FIC,0300402493
417,FID,0104782792
418,FIR,0401623121
419,FIT,0102182140
420,FLC,0102683813
421,FMC,2200208753
422,FOC,0305045911
423,FOX,0101778163
424,FPT,
425,FRC,4000101608
426,FRM,0300695842
427,FRT,0311609355
428,FSO,0200140967
429,FT1,4600358468
430,FTI,0300743380
431,FTM,1000400095
432,G20,2500395568
433,G36,0105454762
434,GAB,2802404931
435,GAS,
436,GCB,4100406219
437,GCF,3602503768
438,GDA,3700255880
439,GDT,0301449014
440,GDW,0304806225
441,GEE,0107547109
442,GEG,5900181213
443,GER,0301634641
444,GEX,0100100512
445,GGG,5100165283
446,GH3,0100105292
447,GHC,5900288566
448,GIC,0201768923
449,GIL,0302181666
450,GKM,0700510750
451,GLC,5300238161
452,GLT,0301446863
453,GLW,
454,GMA,0105558271
455,GMC,0300742387
456,GMD,0301116791
457,GMH,3200040982
458,GMX,3500640966
459,GND,0300397028
460,GPC,
461,GSM,3000333195
462,GSP,0305390530
463,GTA,3700403867
464,GTD,0100100939
465,GTS,0300460907
466,GVR,0301266564
467,GVT,2600107284
468,H11,0102243403
469,HAD,0800283766
470,HAF,0100106803
471,HAG,5900377720
472,HAH,0103818809
473,HAI,0301242080
474,HAM,1800506679
475,HAN,0100106338
476,HAP,0200371361
477,HAR,0305087904
478,HAS,0101116096
479,HAT,0102111943
480,HAV,0102164984
481,HAX,0302000126
482,HBC,0302158498
483,HBH,0200761964
484,HC1,0100105782
485,HC3,0200509429
486,HCB,0400100457
487,HCC,4000362102
488,HCD,0800940115
489,HCI,0100105045
490,HCT,0200577563
491,HD2,0101043105
492,HD6,0100383878
493,HD8,0102333784
494,HDA,0102073938
495,HDB,
496,HDC,3500444601
497,HDG,0100283802
498,HDM,3300100628
499,HDO,0301411035
500,HDP,3000104879
501,HDW,0800001348
502,HEC,0300566614
503,HEJ,0100103175
504,HEM,0100100456
505,HEP,3300101082
506,HES,0100844825
507,HEV,
508,HFB,0301986393
509,HFC,0100108159
510,HFX,0100101876
511,HGM,5100101762
512,HHC,0101444379
513,HHG,1000272301
514,HHN,0100105729
515,HHP,0201282851
516,HHR,0100769656
517,HHS,
518,HHV,0400101965
519,HID,0101143879
520,HIG,0100364579
521,HII,5200466372
522,HJC,3600262193
523,HJS,5100174626
524,HKB,0104246382
525,HKT,5400257584
526,HLA,0302290400
527,HLB,5700433939
528,HLC,5700101637
529,HLD,0102340326
530,HLR,2400152522
531,HLS,5200216710
532,HLT,2900324811
533,HLY,5700475745
534,HMC,0300399360
535,HMG,0100100368
536,HMH,0302525162
537,HMR,2901437166
538,HMS,0100105077
539,HNA,2900797430
540,HNB,0100105528
541,HND,0200493225
542,HNF,0102109239
543,HNG,5900712753
544,HNI,0302641539
545,HNM,0101218588
546,HNP,0100738312
547,HNR,0100102245
548,HOM,2900329295
549,HOT,4000102418
550,HPB,0200545032
551,HPD,5900419811
552,HPG,
553,HPH,2400395807
554,HPI,0305046979
555,HPM,4900270327
556,HPP,0200575580
557,HPT,0301447426
558,HPW,0200171274
559,HPX,0500447004
560,HQC,0302087938
561,HRB,0102116074
562,HRC,3500657173
563,HRT,0100106264
564,HSA,0106459724
565,HSG,3700381324
566,HSI,0303951558
567,HSL,5500512492
568,HSM,0100100826
569,HSP,0100103619
570,HSV,0106358846
571,HT1,0301446422
572,HTC,0302481483
573,HTE,0305173790
574,HTG,0400101556
575,HTI,0302095576
576,HTL,0301384695
577,HTM,0100101273
578,HTN,0305371707
579,HTP,0400459486
580,HTR,0100769663
581,HTT,0500443384
582,HTV,0301975289
583,HU1,0101043264
584,HU3,0500227640
585,HU4,2800576533
586,HU6,0102144120
587,HUB,3300101156
588,HUG,0900108038
589,HUT,0600264117
590,HVA,0104659943
591,HVG,1200507529
592,HVH,0104606490
593,HVN,0100107518
594,HVT,2600108217
595,HVX,0400101235
596,HWS,3300101491
597,IBC,0105824156
598,IBD,3702606911
599,ICC,0100105599
600,ICF,0301805696
601,ICG,
602,ICI,0101482060
603,ICN,3500101298
604,ICT,0100683374
605,IDC,0302177966
606,IDI,0303141296
607,IDJ,0102186593
608,IDP,0500463609
609,IDV,2500222004
610,IFS,3600245631
611,IHK,0100108014
612,IJC,3700805566
613,ILA,0312933227
614,ILB,3601033213
615,ILC,0200344784
616,ILS,0100110052
617,IME,0300628797
618,IMP,1400384433
619,IN4,0300462580
620,INC,0304843611
621,INN,0101508664
622,IPA,0100779693
623,IRC,3600259017
624,ISG,0300442760
625,ISH,3800407449
626,IST,3700785006
627,ITA,0302670307
628,ITC,0302199864
629,ITD,0301596604
630,ITQ,0900233261
631,ITS,0200170658
632,JOS,2000104034
633,JVC,0101178800
634,KAC,0302569547
635,KBC,2300233993
636,KCB,4800129232
637,KCE,4200742214
638,KDC,0302705302
639,KDH,0302588596
640,KDM,0700324666
641,KGM,1700100989
642,KHD,0800282498
643,KHG,0309139261
644,KHL,5700378910
645,KHP,4200601069
646,KHS,1700339752
647,KHW,4200238007
648,KIP,0500447942
649,KKC,0200412681
650,KLB,1700197787
651,KLF,0104168889
652,KLM,2703002021
653,KMR,3700393217
654,KMT,0400101605
655,KOS,0102681319
656,KPF,0103930374
657,KSB,3700148825
658,KSD,0700212810
659,KSF,0106771556
660,KSH,0700189368
661,KSQ,0101971512
662,KST,0302826473
663,KSV,0100103087
664,KTC,1700523208
665,KTL,0100100618
666,KTS,6100228104
667,KTT,0600324084
668,KVC,0302124121
669,L10,5400101273
670,L12,0100106433
671,L14,2600106234
672,L18,0800001612
673,L35,2700224390
674,L40,1800421390
675,L43,4400135344
676,L44,3600255703
677,L45,0301443037
678,L61,2300102253
679,L62,0200155547
680,L63,0800001972
681,LAF,1100107301
682,LAI,1100503295
683,LAS,2600108471
684,LAW,1100101500
685,LBC,0100596869
686,LBE,1100105921
687,LBM,5800391633
688,LCC,4900102650
689,LCD,0100106458
690,LCG,0302310209
691,LCM,5300208618
692,LCS,0102264629
693,LDG,3602368420
694,LDP,5800000047
695,LDW,5800000174
696,LEC,0400592801
697,LG9,0301442322
698,LGC,0300482241
699,LGL,0101184201
700,LGM,0300734844
701,LHC,5800000424
702,LHG,
703,LIC,0100106440
704,LIG,0100106426
705,LIX,0301444263
706,LKW,3600979223
707,LLM,0100106313
708,LM3,2600104526
709,LM7,0400100986
710,LM8,0300390921
711,LMC,0105897161
712,LMH,0311803955
713,LMI,3600975839
714,LNC,3100114609
715,LO5,2800233448
716,LPB,6300048638
717,LPT,0800258431
718,LQN,4300208207
719,LSG,0305316946
720,LSS,2800463346
721,LTC,0101135243
722,LTG,1600192619
723,LUT,0302879813
724,M10,0100101308
725,MA1,0500233549
726,MAC,0200563063
727,MAS,0400102045
728,MBB,
729,MBG,0102382580
730,MBN,2300181671
731,MCC,3700762464
732,MCF,1100664038
733,MCG,0100103295
734,MCH,0302017440
735,MCI,3600687943
736,MCM,5500154060
737,MCO,0101413483
738,MCP,0301671386
739,MDA,0107726267
740,MDC,5700101203
741,MDF,3200228141
742,MDG,3600256545
743,MEC,5400240573
744,MED,0100108430
745,MEF,4600283621
746,MEL,2500222727
747,MES,0100106190
748,MFS,0102636299
749,MGC,5701436805
750,MGG,0100101403
751,MGR,0312267721
752,MH3,3800378251
753,MHC,0100793715
754,MHL,0305173769
755,MIC,4000100139
756,MIE,0100101379
757,MIG,43/GP/KDBH
758,MIM,0100102580
759,MKP,0302533156
760,MKV,1200505472
761,MLC,5300133049
762,MLS,3001065982
763,MML,0311224517
764,MNB,0300398889
765,MND,0600143867
766,MPC,2000393273
767,MPT,0500578254
768,MPY,4400115884
769,MQB,3100488562
770,MQN,4300225555
771,MRF,0300478598
772,MSB,0200124891
773,MSH,0600333307
774,MSN,
775,MSR,0309966889
776,MST,0103983390
777,MTA,3000310977
778,MTB,1000219925
779,MTC,1400696545
780,MTG,1100480979
781,MTH,0500332500
782,MTL,0106893917
783,MTP,3300101406
784,MTS,5700100707
785,MTV,3500137706
786,MVB,0100100015
787,MVC,3700148529
788,MVN,0100104595
789,MWG,0306731335
790,NAB,0300872315
791,NAC,0300403987
792,NAF,2900326375
793,NAG,2500217389
794,NAP,2900325068
795,NAS,0100108254
796,NAU,2900326985
797,NAV,0302205973
798,NAW,2900324240
799,NBB,0303885305
800,NBC,5700101700
801,NBE,0104546308
802,NBP,2700283389
803,NBT,1300107725
804,NBW,0304789298
805,NCG,0301447257
806,NCS,0101509403
807,NCT,0101640729
808,ND2,5300215527
809,NDC,0101452595
810,NDN,0400101323
811,NDP,0302404048
812,NDT,0600019436
813,NDW,0600008000
814,NDX,0400620833
815,NED,5500271984
816,NEM,2300244882
817,NET,3600642822
818,NFC,2700224471
819,NGC,1700460163
820,NHA,0700222689
821,NHC,3700358798
822,NHH,0100100858
823,NHT,0303292182
824,NHV,4600483821
825,NJC,0600328515
826,NKG,3700477019
827,NLG,0301438936
828,NLS,4900101738
829,NNC,3700762471
830,NNT,4500289362
831,NO1,0105207386
832,NOS,0100105609
833,NQB,3100130287
834,NQN,5700100104
835,NQT,3200041908
836,NRC,0312695565
837,NS2,0100106088
838,NSC,0101449271
839,NSG,0300766500
840,NSH,2600213532
841,NSL,5500154649
842,NSS,3600267730
843,NST,0100100199
844,NT2,3600897316
845,NTC,3700621209
846,NTF,2900491298
847,NTH,4300322171
848,NTL,0101533886
849,NTP,0200167782
850,NTT,4200237973
851,NTW,3600977120
852,NUE,4200444916
853,NVB,
854,NVL,
855,NVP,2500144719
856,NVT,0102051941
857,NWT,0106921949
858,NXT,6100102662
859,OCB,0300852005
860,OCH,0800338870
861,ODE,0107602021
862,OGC,0102278484
863,OIL,0305795054
864,ONE,0100233174
865,ONW,0306507037
866,OPC,0302560110
867,PAC,0300405462
868,PAI,0103349508
869,PAN,0301472704
870,PAP,3601010336
871,PAS,0900613295
872,PAT,5300656602
873,PBC,0100109032
874,PBP,1900437757
875,PBT,4300429492
876,PC1,0100100745
877,PCC,0100108180
878,PCE,4100733174
879,PCF,0304263392
880,PCG,0102349865
881,PCH,0104518043
882,PCM,0100687185
883,PCN,0102631910
884,PCT,0305020272
885,PDB,0401333013
886,PDC,2900781381
887,PDN,3600334112
888,PDR,0303493756
889,PDV,0304934883
890,PEC,0101643744
891,PEG,
892,PEN,0302536580
893,PEQ,0100108102
894,PET,0300452060
895,PFL,0102293517
896,PGB,1400116233
897,PGC,0101447725
898,PGD,0304998686
899,PGI,67GP/KDBH
900,PGN,2500287403
901,PGS,0305097236
902,PGT,0303527483
903,PGV,3502208399
904,PHC,0101311315
905,PHH,0100109674
906,PHN,0100100752
907,PHP,0200236845
908,PHR,3700147532
909,PIA,0101409374
910,PIC,0400599162
911,PID,0103467702
912,PIS,4100258987
913,PIT,0301776741
914,PIV,0102636059
915,PJC,0100919284
916,PJS,0304796249
917,PJT,0301825283
918,PLA,0101788806
919,PLC,0101463614
920,PLE,0101466968
921,PLO,3700791715
922,PLP,0103018538
923,PLX,
924,PMB,0102886450
925,PMC,0300483037
926,PMG,4000462724
927,PMJ,0300464683
928,PMP,3500874315
929,PMS,0301838116
930,PMT,0100682645
931,PMW,3500677525
932,PNC,0301860552
933,PND,0600759399
934,PNG,0301428617
935,PNJ,0300521758
936,PNP,0309444635
937,PNT,0300428854
938,POB,1000808141
939,POM,3700321364
940,POS,3500818790
941,POT,0100686865
942,POV,3000413193
943,POW,0102276173
944,PPC,0800296853
945,PPE,0102403985
946,PPH,0301446006
947,PPI,0303614496
948,PPP,0301427564
949,PPS,0102560459
950,PPT,0201651354
951,PPY,4400114094
952,PQN,4300351623
953,PRC,0400438101
954,PRE,0105434036
955,PRO,0400100506
956,PRT,3700148166
957,PSB,3500794814
958,PSC,0302160137
959,PSD,0305482862
960,PSE,0305918852
961,PSH,6300177249
962,PSL,3600271092
963,PSN,2801448559
964,PSP,0200754420
965,PSW,1800722461
966,PTB,4100259236
967,PTC,0100686544
968,PTD,0302365984
969,PTE,2600116271
970,PTG,3400353333
971,PTH,0500387891
972,PTI,41AGP/KDBH
973,PTL,0305284081
974,PTO,0304731322
975,PTP,0100687474
976,PTS,0200412699
977,PTT,0102327357
978,PTV,0305447723
979,PTX,2900428497
980,PV2,0102306389
981,PVA,2900325413
982,PVB,0600393680
983,PVC,0100150873
984,PVD,0302495126
985,PVE,0301479273
986,PVG,0102311149
987,PVH,2800947548
988,PVI,
989,PVL,0102380872
990,PVM,0101394512
991,PVO,0103100084
992,PVP,0305475110
993,PVR,0500547376
994,PVS,0100150577
995,PVT,0302743192
996,PVV,0102141289
997,PVX,3500102365
998,PVY,3500806844
999,PWA,0102025250
1000,PWS,4400115690
1001,PXA,2900872462
1002,PXC,2000492299
1003,PXI,3500832971
1004,PXL,3500811001
1005,PXM,4300368987
1006,PXS,3500834094
1007,PXT,3500833615
1008,QBS,0200730878
1009,QCC,4000364082
1010,QCG,5900409387
1011,QHD,0500445085
1012,QHW,5700379618
1013,QNC,5700100263
1014,QNS,4300205943
1015,QNT,4001205776
1016,QNU,4000108321
1017,QNW,4300326264
1018,QPH,2900687702
1019,QSP,4100694020
1020,QST,5700101549
1021,QTC,4000390766
1022,QTP,5700434869
1023,RAL,0101526991
1024,RAT,0101206286
1025,RBC,0300694937
1026,RCC,3300101075
1027,RCD,0300695916
1028,RCL,0300450962
1029,RDP,0300384357
1030,REE,0300741143
1031,RGC,0102294528
1032,RIC,5700102119
1033,ROS,0105167581
1034,RTB,3900242832
1035,S12,0100105140
1036,S27,3000335587
1037,S4A,5900413305
1038,S55,
1039,S72,5400232452
1040,S74,5500296523
1041,S99,0101405355
1042,SAB,0300583659
1043,SAC,0310346174
1044,SAF,0303752249
1045,SAL,0300430099
1046,SAM,3600253537
1047,SAP,0303171300
1048,SAS,0301123125
1049,SAV,0302317892
1050,SB1,2900765728
1051,SBA,0400439955
1052,SBD,0303191804
1053,SBG,0313140100
1054,SBH,4400415302
1055,SBL,1900333973
1056,SBM,0102165522
1057,SBR,3800100464
1058,SBT,3900244389
1059,SBV,0300812161
1060,SC5,0300378152
1061,SCC,5400213153
1062,SCD,0300584564
1063,SCG,0108704763
1064,SCI,0500574676
1065,SCJ,0500444444
1066,SCL,0800376530
1067,SCO,0302166033
1068,SCR,0303315400
1069,SCS,0305654014
1070,SCY,0200168673
1071,SD1,0100106257
1072,SD2,0500236821
1073,SD3,5900189364
1074,SD4,5900189325
1075,SD5,0100886857
1076,SD6,4400135552
1077,SD7,5400105091
1078,SD9,0100845515
1079,SDA,0101401706
1080,SDC,
1081,SDD,0500450173
1082,SDG,1800155452
1083,SDJ,2800221072
1084,SDK,3600869728
1085,SDN,3600451024
1086,SDP,0500444772
1087,SDT,5900189357
1088,SDU,0102186917
1089,SDV,3600890938
1090,SDY,5900305243
1091,SEA,0310745210
1092,SEB,4200519791
1093,SED,0304952106
1094,SEP,3200042556
1095,SFG,0300430500
1096,SFI,0301471330
1097,SFN,0300669828
1098,SGB,0300610408
1099,SGC,1400469817
1100,SGD,0303280405
1101,SGH,0300850255
1102,SGI,0315205307
1103,SGN,0312610240
1104,SGP,0300479714
1105,SGR,0301899038
1106,SGS,0300424088
1107,SGT,0302615063
1108,SHA,0307526635
1109,SHB,1800278630
1110,SHC,0302590764
1111,SHE,0101809894
1112,SHG,2600104283
1113,SHI,0100776445
1114,SHN,0102287094
1115,SHP,0303416670
1116,SHX,0300481625
1117,SID,0304921066
1118,SIG,0102662098
1119,SII,0303476454
1120,SIP,0305268812
1121,SIV,0200456505
1122,SJ1,0302047389
1123,SJC,0101426757
1124,SJD,3801068943
1125,SJE,0500313811
1126,SJF,0105806767
1127,SJG,0100105870
1128,SJM,0400450691
1129,SJS,0101399461
1130,SKG,1700556108
1131,SKH,4201675916
1132,SKN,4201675930
1133,SKV,4201624478
1134,SLS,5500155321
1135,SMA,0300542187
1136,SMB,4100739909
1137,SMC,0303522206
1138,SMN,0309902130
1139,SMT,3600850734
1140,SNC,2000104323
1141,SNZ,3600335363
1142,SP2,5300226455
1143,SPB,3300352720
1144,SPC,0300632232
1145,SPD,0400100778
1146,SPH,0100102848
1147,SPI,2801330959
1148,SPM,0302271207
1149,SPV,0302598530
1150,SQC,4100624513
1151,SRA,0101476469
1152,SRB,2900556890
1153,SRC,0100100625
1154,SRF,0301825452
1155,SRT,0301120371
1156,SSB,0200253985
1157,SSC,0302634683
1158,SSF,0300396916
1159,SSG,0302020027
1160,SSH,0106784499
1161,SSM,0400474004
1162,SSN,0301261975
1163,ST8,0302563707
1164,STB,0301103908
1165,STC,0301325347
1166,STG,0300645369
1167,STH,4600346889
1168,STK,0302018927
1169,STP,0500436570
1170,STS,0300463792
1171,STT,0303609986
1172,STW,2200107297
1173,SVC,0301154821
1174,SVD,0600986828
1175,SVG,0300422482
1176,SVH,0400476650
1177,SVI,3600648493
1178,SVN,0101612880
1179,SVT,0300716891
1180,SWC,0300447173
1181,SZB,3601867699
1182,SZC,3600899948
1183,SZE,3600274914
1184,SZG,3603474037
1185,SZL,3600649539
1186,TA3,0100598520
1187,TA6,0100385603
1188,TA9,0400100545
1189,TAN,6000173846
1190,TAR,1800241736
1191,TAW,0310350082
1192,TB8,0101854047
1193,TBC,5200240495
1194,TBD,0100101322
1195,TBH,0101527970
1196,TBR,0303240995
1197,TBT,1300403675
1198,TBW,1000214853
1199,TBX,1000283494
1200,TC6,5700101002
1201,TCB,0100230800
1202,TCD,0300482393
1203,TCH,0200117929
1204,TCJ,1400521150
1205,TCK,0100106553
1206,TCL,0304875444
1207,TCM,0301446221
1208,TCO,0200793081
1209,TCR,3600254001
1210,TCT,3900309621
1211,TCW,0309532497
1212,TDB,4100541602
1213,TDC,3700413826
1214,TDF,2900324272
1215,TDG,2400345718
1216,TDH,0302346036
1217,TDI,0307717044
1218,TDM,3702226772
1219,TDN,5700101299
1220,TDP,0900264799
1221,TDT,4600941221
1222,TDW,
1223,TED,0100107839
1224,TEG,0105167260
1225,TEL,0100683141
1226,TET,0100108127
1227,TFC,0303366525
1228,TGG,0105787835
1229,TGP,0800298748
1230,TH1,0100107490
1231,THB,2800791192
1232,THD,0105202998
1233,THG,1200526842
1234,THM,0700519785
1235,THN,2800219549
1236,THP,0400100432
1237,THS,2800772376
1238,THT,5700101323
1239,THU,2800152894
1240,THW,0310350068
1241,TID,3600283394
1242,TIE,0301173454
1243,TIG,0101164614
1244,TIN,0102766770
1245,TIP,3600964611
1246,TIS,4600100155
1247,TIX,0301464904
1248,TJC,0200387594
1249,TKA,2900741212
1250,TKC,0301725747
1251,TKG,0200383737
1252,TKU,3600254361
1253,TL4,0300546537
1254,TLD,0500383583
1255,TLG,0301464830
1256,TLH,3600512830
1257,TLI,0305132089
1258,TLP,3700146458
1259,TLT,2500224026
1260,TMB,0100100689
1261,TMC,0301444626
